Symbol,Timestamp,Open,Close,ChangePct,Volume,RVOL
FFL,2026-01-07T04:45:20.000000000Z,21.5,22.31,3.7674,135742,0.4838
FFL,2026-01-07T04:46:17.000000000Z,21.55,22.35,3.7123,176193,0.6280
FFL,2026-01-07T04:47:16.000000000Z,21.55,22.39,3.8979,177884,0.6340
FFL,2026-01-07T04:48:11.000000000Z,21.5,22.37,4.0465,409948,1.4612
FFL,2026-01-07T04:49:08.000000000Z,21.41,22.34,4.3438,365126,1.3014
FFL,2026-01-07T04:50:07.000000000Z,21.45,22.32,4.0559,184913,0.6591
FFL,2026-01-07T04:51:18.000000000Z,21.46,22.35,4.1473,179842,0.6410
FFL,2026-01-07T04:52:28.000000000Z,21.42,22.38,4.4818,134937,0.4809
FFL,2026-01-07T04:53:47.000000000Z,21.47,22.39,4.2850,90351,0.3220
FFL,2026-01-07T04:55:12.000000000Z,21.49,22.35,4.0019,798074,2.8445
FFL,2026-01-07T04:56:19.000000000Z,21.55,22.39,3.8979,417032,1.4864
FFL,2026-01-07T04:57:19.000000000Z,21.58,22.3,3.3364,180865,0.6446
FFL,2026-01-07T04:58:20.000000000Z,21.6,22.26,3.0556,487963,1.7392
FFL,2026-01-07T04:59:16.000000000Z,21.64,22.38,3.4196,313851,1.1186
FFL,2026-01-07T05:00:13.000000000Z,21.66,22.37,3.2779,613640,2.1872
FFL,2026-01-07T05:01:11.000000000Z,21.66,22.35,3.1856,320007,1.1406
FFL,2026-01-07T05:02:07.000000000Z,21.6,22.29,3.1944,519275,1.8508
FFL,2026-01-07T05:03:08.000000000Z,21.54,22.25,3.2962,156418,0.5575
FFL,2026-01-07T05:04:06.000000000Z,21.54,22.2,3.0641,87980,0.3136
FFL,2026-01-07T05:05:10.000000000Z,21.52,22.17,3.0204,227568,0.8111
FFL,2026-01-07T05:06:29.000000000Z,21.53,22.23,3.2513,174543,0.6221
FFL,2026-01-07T05:07:41.000000000Z,21.53,22.25,3.3442,99079,0.3531
FFL,2026-01-07T05:09:08.000000000Z,21.53,22.24,3.2977,127648,0.4550
FFL,2026-01-07T05:10:41.000000000Z,21.51,22.15,2.9754,201212,0.7172
FFL,2026-01-07T05:12:17.000000000Z,21.45,22.11,3.0769,118632,0.4228
FFL,2026-01-07T05:13:49.000000000Z,21.49,22.14,3.0247,83854,0.2989
FFL,2026-01-07T05:15:30.000000000Z,21.43,22.2,3.5931,94278,0.3360
FFL,2026-01-07T05:16:52.000000000Z,21.45,22.18,3.4033,47235,0.1684
FFL,2026-01-07T05:18:42.000000000Z,21.45,22.21,3.5431,76562,0.2729
FFL,2026-01-07T05:20:33.000000000Z,21.45,22.23,3.6364,245287,0.8743
FFL,2026-01-07T05:22:17.000000000Z,21.49,22.25,3.5365,48051,0.1713
FFL,2026-01-07T05:23:59.000000000Z,21.5,22.23,3.3953,72678,0.2590
FFL,2026-01-07T05:25:56.000000000Z,21.46,22.22,3.5415,127529,0.4545
FFL,2026-01-07T05:27:49.000000000Z,21.46,22.2,3.4483,437526,1.5594
FFL,2026-01-07T05:30:17.000000000Z,21.47,22.18,3.3069,139265,0.4964
FFL,2026-01-07T05:32:28.000000000Z,21.47,22.17,3.2604,97739,0.3484
FFL,2026-01-07T05:34:29.000000000Z,21.5,22.17,3.1163,94404,0.3365
FFL,2026-01-07T05:36:25.000000000Z,21.45,22.09,2.9837,263385,0.9388
FFL,2026-01-07T05:38:47.000000000Z,21.45,21.98,2.4709,693120,2.4704
FFL,2026-01-07T05:40:35.000000000Z,21.47,21.94,2.1891,250340,0.8923
FFL,2026-01-07T05:42:59.000000000Z,21.45,21.95,2.3310,191894,0.6840
FFL,2026-01-07T05:44:55.000000000Z,21.49,21.95,2.1405,112559,0.4012
FFL,2026-01-07T05:47:14.000000000Z,21.44,21.93,2.2854,133148,0.4746
FFL,2026-01-07T05:49:28.000000000Z,21.47,21.94,2.1891,80128,0.2856
FFL,2026-01-07T05:51:54.000000000Z,21.45,21.85,1.8648,302244,1.0773
FFL,2026-01-07T05:54:02.000000000Z,21.44,21.8,1.6791,314674,1.1216
FFL,2026-01-07T05:56:31.000000000Z,21.45,21.7,1.1655,916809,3.2677
FFL,2026-01-07T05:59:21.000000000Z,21.42,21.66,1.1204,706777,2.5191
FFL,2026-01-07T06:01:33.000000000Z,21.42,21.68,1.2138,240411,0.8569
FFL,2026-01-07T06:03:39.000000000Z,21.48,21.81,1.5363,275001,0.9802
FFL,2026-01-07T06:06:03.000000000Z,21.45,21.78,1.5385,192112,0.6847
FFL,2026-01-07T06:08:09.000000000Z,21.43,21.7,1.2599,138706,0.4944
FFL,2026-01-07T06:09:56.000000000Z,21.42,21.73,1.4472,287713,1.0255
FFL,2026-01-07T06:12:50.000000000Z,21.41,21.72,1.4479,319279,1.1380
FFL,2026-01-07T06:15:15.000000000Z,21.45,21.87,1.9580,466379,1.6623
FFL,2026-01-07T06:17:58.000000000Z,21.45,21.85,1.8648,156444,0.5576
FFL,2026-01-07T06:21:26.000000000Z,21.45,21.95,2.3310,80614,0.2873
FFL,2026-01-07T06:25:12.000000000Z,21.43,21.89,2.1465,52626,0.1876
FFL,2026-01-07T06:28:13.000000000Z,21.45,21.93,2.2378,85491,0.3047
